gene_id,p_value,auc_single,neg_log10_p
PDCL,0.001134104602501483,0.6458223857067787,2.945346887070875
BMP6,0.0011450518412698474,0.7256962690488702,2.9411748505574886
RANBP17,0.001153326161731446,0.5334734629532317,2.9380478564443506
TBC1D19,0.0011622779609313462,0.6373095112979507,2.934689997192949
AUP1,0.001181865447020722,0.6452968996321597,2.927431964184616
SSNA1,0.001181865447020722,0.6452968996321597,2.927431964184616
CYTIP,0.001182744379716485,0.6527588018917498,2.927109106998625
NSF,0.001211407080152508,0.6449816079873884,2.916709892401147
NSF_2,0.001211407080152508,0.6449816079873884,2.916709892401147
NSF_1,0.001211407080152508,0.6449816079873884,2.916709892401147
GADD45A,0.0012214048835913701,0.6448765107724646,2.913140347879908
LAMP3,0.0012233800277521294,0.6834471886495008,2.912438613839723
SEC24A,0.0012518573675089817,0.6445612191276932,2.9024451503847994
ARHGEF6,0.0012725468671010048,0.6443510246978454,2.8953262139039504
ARF3,0.0012725468671010048,0.6443510246978456,2.8953262139039504
RND2,0.0012959073572270628,0.666631634261692,2.887426044517268
CD3E,0.0013105733597762795,0.6716763005780346,2.8825386642600472
TACO1,0.0013148759932665622,0.6439306358381502,2.881115203812657
GMFB,0.0013256593924228057,0.6438255386232264,2.877568046815882
PIGB,0.0013256593924228057,0.6438255386232264,2.877568046815882
RUNX3,0.001330721258440047,0.647293746715712,2.875912905155724
MATCAP2,0.0013390769057729317,0.6335260115606937,2.873194479900847
LCK,0.001351864181493629,0.6773515501839201,2.8690669387130288
RTF2,0.00135850110936647,0.643510246978455,2.8669400025964475
PLEK2,0.00135850110936647,0.643510246978455,2.8669400025964475
PPP1CC,0.00135850110936647,0.643510246978455,2.8669400025964475
CELSR1,0.0013699575672879206,0.6369942196531792,2.863292884360456
RARG,0.001380810792332366,0.6433000525486074,2.859865827196597
ACBD3,0.0013920918943892222,0.6431949553336836,2.8563320952506794
TRIAP1,0.0013920918943892222,0.6431949553336836,2.8563320952506794
COPB1,0.0014149094849418271,0.642984760903836,2.8492713420814924
AATK,0.0014149094849418271,0.642984760903836,2.8492713420814924
TRIP4,0.0014264471296901397,0.6428796636889123,2.845744320543425
TMED9,0.0014264471296901397,0.6428796636889123,2.845744320543425
CERS6,0.0014380714505896975,0.6427745664739885,2.8422195354928137
TASL,0.0014424444746601879,0.6990015764582238,2.8409008955467945
COL11A1,0.0014464906346315957,0.6410930110352075,2.839684373865971
DPY19L4,0.0014497830342929468,0.6426694692590647,2.838696986771718
TRAF5,0.0014497830342929468,0.6426694692590647,2.838696986771718
PRKCSH,0.0014615824708915355,0.6425643720441409,2.835176674221973
GZMB,0.0014733271209377088,0.6428796636889123,2.831700816602354
HSPA1A_1,0.0015219183432872876,0.6420388859695219,2.8176086484925738
HSPA1A_3,0.0015219183432872876,0.6420388859695219,2.8176086484925738
HSPA1A_4,0.0015219183432872876,0.6420388859695219,2.8176086484925738
HSPA1A,0.0015219183432872876,0.6420388859695219,2.8176086484925738
HSPA1A_2,0.0015219183432872876,0.6420388859695219,2.8176086484925738
COL10A1,0.0015466887055000243,0.6418286915396741,2.8105970858400897
NVL,0.0015592126265700148,0.6417235943247503,2.807094656941051
COX7C,0.0015592126265700148,0.6417235943247503,2.807094656941051
METTL1,0.0015716787487752763,0.6416184971098265,2.803636219042118
CCND2,0.0015895257629105041,0.6995270625328429,2.7987324286808244
RAB22A,0.001597346821734278,0.641408302679979,2.796600778030373
ARRB2,0.0016102477940893466,0.6413032054650551,2.793107287120339
XYLT1_1,0.0016222692116260747,0.6406726221755124,2.7898770740323378
XYLT1,0.0016222692116260747,0.6406726221755124,2.7898770740323378
SRPX2,0.0016252862564827446,0.5448239621650026,2.789070137046821
UCKL1,0.0016297747114594903,0.6410930110352075,2.7878724252476568
MAP3K1,0.0016355943011568503,0.7465055176037835,2.7863244113119086
NUAK1,0.0016363379119478413,0.6410930110352075,2.786127007424702
FARS2,0.0016495283410199726,0.6409879138202838,2.7826402183163648
BLVRA,0.0016896888879356835,0.6406726221755124,2.7721932520081625
LDLRAD4,0.0017032281943709416,0.6405675249605886,2.768727162420853
CLU,0.0017169601928524241,0.6404624277456648,2.7652397736946104
SFRP1,0.0017314298173982026,0.7060430898581187,2.761595107657357
AVL9,0.0017446169461145273,0.6402522333158172,2.75829991337556
GINS2,0.001772554081957231,0.6400420388859696,2.7514005052917043
SEC16A,0.001786918935528113,0.6399369416710458,2.7478951490340155
TMEM134,0.001786918935528113,0.6399369416710458,2.7478951490340155
VPS33B,0.00180095071288987,0.6395165528113504,2.744498172473557
PPP1R3D,0.0018082167882199844,0.6366789280084078,2.742749502907332
PSAP,0.0018156288534765296,0.639726747241198,2.7409729241853733
TBCA,0.0018594892676694753,0.6394114555964266,2.730606323895692
HLA-DMA_3,0.001874324348732912,0.6393063583815028,2.7271552530020453
HLA-DMA_4,0.001874324348732912,0.6393063583815028,2.7271552530020453
HLA-DMA_1,0.001874324348732912,0.6393063583815028,2.7271552530020453
HLA-DMA_2,0.001874324348732912,0.6393063583815028,2.7271552530020453
HLA-DMA,0.001874324348732912,0.6393063583815028,2.7271552530020453
HLA-DMA_7,0.001874324348732912,0.6393063583815028,2.7271552530020453
HLA-DMA_6,0.001874324348732912,0.6393063583815028,2.7271552530020453
CCP110,0.001874324348732912,0.6393063583815028,2.7271552530020453
HLA-DMA_5,0.001874324348732912,0.6393063583815028,2.7271552530020453
IQCE,0.0018825722669000293,0.6298476090383605,2.7252483434069408
HSD11B1,0.001888986615665574,0.6395165528113504,2.7237711192423686
MRPS14,0.0019194843447867052,0.6389910667367315,2.7168154256150694
VPS28_1,0.0019194843447867052,0.6389910667367315,2.7168154256150694
VPS28,0.0019194843447867052,0.6389910667367315,2.7168154256150694
ST7,0.0019347583172329348,0.6388859695218077,2.7133732776980586
RBP1,0.0019466374999358032,0.641933788754598,2.7107149146510117
MICALL2,0.0019501438147018185,0.6387808723068839,2.709933360110119
RGL2,0.001996976767297859,0.6384655806621125,2.699626987654601
RGL2_1,0.001996976767297859,0.6384655806621125,2.699626987654601
RGL2_2,0.001996976767297859,0.6384655806621125,2.699626987654601
RGL2_3,0.001996976767297859,0.6384655806621125,2.699626987654601
RGL2_4,0.001996976767297859,0.6384655806621125,2.699626987654601
STRN3,0.002012815695369514,0.6383604834471887,2.69619598971565
LUC7L,0.0020287698342402604,0.6382553862322649,2.6927672212709535
DACT1,0.0020449034972987085,0.530635838150289,2.689327182316572
DNAJC12,0.0020598391609865747,0.6375197057277983,2.686166689447862
WASHC2C,0.0020610213475735447,0.6380451918024173,2.6859175098775663
